Evaluated expression,complexity,seed,F1 score,accuracy,precision,recall
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(type_TRANSFER, fuzzy_not(newbalanceDest))), type_DEBIT)",8,9,0.0327892849301032,0.977975,0.017387254521462392,0.28717948717948716
"lukasiewicz_s_implication(lukasiewicz_conorm(newbalanceOrig, lukasiewicz_conorm(oldbalanceDest, fuzzy_not(newbalanceDest))), type_DEBIT)",9,9,0.0534244841119129,0.9875383333333333,0.029638994240764154,0.2705128205128205
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(newbalanceDest, fuzzy_not(lukasiewicz_conorm(oldbalanceDest, oldbalanceDest)))), type_DEBIT)",10,9,0.05584129316678913,0.98715,0.030869212022745736,0.2923076923076923
"lukasiewicz_s_implication(fuzzy_not(fuzzy_not(lukasiewicz_conorm(newbalanceOrig, lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER))))), type_DEBIT)",11,9,0.07241143749390067,0.9841583333333334,0.03918876095912116,0.4756410256410256
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(newbalanceDest), lukasiewicz_conorm(oldbalanceDest, oldbalanceDest)), fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_conorm(type_TRANSFER, fuzzy_not(type_TRANSFER))))))",15,9,0.10572687224669605,0.9935716666666666,0.06453439003679592,0.2923076923076923
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(fuzzy_not(newbalanceOrig), fuzzy_not(lukasiewicz_conorm(type_TRANSFER, lukasiewicz_conorm(oldbalanceDest, fuzzy_not(oldbalanceDest)))))), fuzzy_not(lukasiewicz_s_implication(type_TRANSFER, lukasiewicz_conorm(newbalanceOrig, oldbalanceDest))))",20,9,0.11604629340006255,0.99058,0.06608478802992519,0.4756410256410256
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,10,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,10,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER)), type_DEBIT)",7,10,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(lukasiewicz_norm(type_TRANSFER, meanDest3)), oldbalanceDest), type_DEBIT)",9,10,0.04644205427737018,0.9776883333333334,0.024587072931593634,0.41794871794871796
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(lukasiewicz_norm(fuzzy_not(oldbalanceDest), type_TRANSFER)), newbalanceOrig), type_DEBIT)",10,10,0.07241143749390067,0.9841583333333334,0.03918876095912116,0.4756410256410256
"lukasiewicz_s_implication(lukasiewicz_conorm(newbalanceOrig, lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER))), lukasiewicz_norm(fuzzy_not(oldbalanceDest), type_DEBIT))",12,10,0.09143561306223044,0.9877116666666667,0.05057941376959782,0.4756410256410256
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(fuzzy_not(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest))), oldbalanceDest), lukasiewicz_norm(fuzzy_not(oldbalanceDest), oldbalanceDest))",14,10,0.11418481459682167,0.9899666666666667,0.06449468085106383,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest), newbalanceOrig), fuzzy_not(lukasiewicz_conorm(fuzzy_not(oldbalanceDest), lukasiewicz_conorm(oldbalanceDest, oldbalanceDest))))",15,10,0.11604629340006255,0.99058,0.06608478802992519,0.4756410256410256
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(fuzzy_not(oldbalanceDest)), fuzzy_not(lukasiewicz_norm(lukasiewicz_conorm(lukasiewicz_conorm(oldbalanceDest, oldbalanceDest), oldbalanceDest), newbalanceDest))), fuzzy_not(lukasiewicz_s_implication(oldbalanceDest, oldbalanceDest)))",19,10,0.1301775147928994,0.996325,0.09401709401709402,0.21153846153846154
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,11,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,11,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER)), fuzzy_not(fuzzy_not(type_DEBIT)))",9,11,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(fuzzy_not(lukasiewicz_conorm(newbalanceDest, fuzzy_not(type_DEBIT)))), lukasiewicz_norm(fuzzy_not(oldbalanceDest), type_TRANSFER))",12,11,0.04329632316018524,0.9714216666666666,0.02263314472379397,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(fuzzy_not(lukasiewicz_conorm(oldbalanceDest, lukasiewicz_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest)))), lukasiewicz_norm(newbalanceDest, type_DEBIT))",13,11,0.07330436425467599,0.98365,0.03956761166632674,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(newbalanceOrig, fuzzy_not(lukasiewicz_norm(fuzzy_not(oldbalanceDest), type_TRANSFER))), fuzzy_not(lukasiewicz_conorm(fuzzy_not(lukasiewicz_norm(fuzzy_not(maxDest7), meanDest3)), fuzzy_not(oldbalanceDest))))",18,11,0.11154539987973541,0.99015,0.06318119891008174,0.4756410256410256
"lukasiewicz_s_implication(fuzzy_not(fuzzy_not(lukasiewicz_conorm(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(newbalanceDest), oldbalanceDest), fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(newbalanceDest)))))), type_TRANSFER))), lukasiewicz_norm(type_DEBIT, fuzzy_not(type_DEBIT)))",21,11,0.13131976362442546,0.997795,0.13458950201884254,0.1282051282051282
"lukasiewicz_s_implication(fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_norm(newbalanceDest, lukasiewicz_norm(newbalanceDest, lukasiewicz_norm(fuzzy_not(lukasiewicz_norm(fuzzy_not(fuzzy_not(oldbalanceDest)), maxDest3)), fuzzy_not(oldbalanceDest))))))), lukasiewicz_norm(type_TRANSFER, fuzzy_not(fuzzy_not(fuzzy_not(type_TRANSFER)))))",24,11,0.16298168035375868,0.9977916666666666,0.16064757160647572,0.16538461538461538
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,12,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,12,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(newbalanceDest, fuzzy_not(type_TRANSFER)), type_DEBIT)",7,12,0.0327892849301032,0.977975,0.017387254521462392,0.28717948717948716
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(fuzzy_not(oldbalanceDest), type_TRANSFER)), type_DEBIT)",8,12,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(lukasiewicz_norm(meanDest3, type_TRANSFER)), oldbalanceDest), type_DEBIT)",9,12,0.04644205427737018,0.9776883333333334,0.024587072931593634,0.41794871794871796
"lukasiewicz_s_implication(fuzzy_not(fuzzy_not(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), lukasiewicz_conorm(oldbalanceDest, oldbalanceDest)))), type_DEBIT)",11,12,0.07287069208376373,0.983545,0.03931502685175803,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(fuzzy_not(meanDest3)), lukasiewicz_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest)), lukasiewicz_norm(type_DEBIT, type_PAYMENT))",13,12,0.10680447889750215,0.9982716666666667,0.16272965879265092,0.07948717948717948
