Evaluated expression,complexity,seed,F1 score,accuracy,precision,recall
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,11,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), maxDest7), type_DEBIT)",7,11,0.02578240273355595,0.9790916666666667,0.01372241051500372,0.2128205128205128
"lukasiewicz_s_implication(fuzzy_not(fuzzy_not(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), newbalanceDest))), type_DEBIT)",9,11,0.0327892849301032,0.977975,0.017387254521462392,0.28717948717948716
"lukasiewicz_s_implication(lukasiewicz_conorm(type_TRANSFER, fuzzy_not(type_DEBIT)), lukasiewicz_norm(fuzzy_not(oldbalanceDest), type_TRANSFER))",10,11,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(newbalanceDest, fuzzy_not(newbalanceDest))), lukasiewicz_norm(type_TRANSFER, fuzzy_not(oldbalanceDest)))",11,11,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(newbalanceDest, fuzzy_not(lukasiewicz_conorm(fuzzy_not(lukasiewicz_norm(fuzzy_not(oldbalanceDest), fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(type_TRANSFER)))))), type_DEBIT)))), type_DEBIT)",18,11,0.053411342832877226,0.9832816666666667,0.02882754405622899,0.3628205128205128
"lukasiewicz_s_implication(lukasiewicz_s_implication(fuzzy_not(fuzzy_not(lukasiewicz_norm(fuzzy_not(fuzzy_not(lukasiewicz_norm(fuzzy_not(fuzzy_not(fuzzy_not(oldbalanceDest))), type_TRANSFER))), fuzzy_not(oldbalanceDest)))), oldbalanceDest), type_DEBIT)",19,11,0.07287069208376373,0.983545,0.03931502685175803,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(oldbalanceOrig, fuzzy_not(fuzzy_not(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(lukasiewicz_conorm(type_TRANSFER, lukasiewicz_conorm(fuzzy_not(fuzzy_not(oldbalanceDest)), oldbalanceDest))))))), lukasiewicz_norm(fuzzy_not(type_TRANSFER), type_TRANSFER))",20,11,0.12103321033210332,0.998015,0.1426086956521739,0.10512820512820513
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(lukasiewicz_norm(lukasiewicz_norm(fuzzy_not(oldbalanceDest), fuzzy_not(fuzzy_not(lukasiewicz_conorm(fuzzy_not(lukasiewicz_norm(type_TRANSFER, type_DEBIT)), type_DEBIT)))), fuzzy_not(maxDest3)), type_TRANSFER)), lukasiewicz_norm(type_TRANSFER, lukasiewicz_norm(lukasiewicz_norm(type_DEBIT, type_DEBIT), oldbalanceDest)))",26,11,0.13168086754453912,0.9981316666666666,0.16634050880626222,0.10897435897435898
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,12,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,12,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(newbalanceDest, fuzzy_not(type_TRANSFER)), type_DEBIT)",7,12,0.0327892849301032,0.977975,0.017387254521462392,0.28717948717948716
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(fuzzy_not(oldbalanceDest), type_TRANSFER)), type_DEBIT)",8,12,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), lukasiewicz_conorm(oldbalanceDest, oldbalanceDest)), type_DEBIT)",9,12,0.07287069208376373,0.983545,0.03931502685175803,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest), oldbalanceOrig), lukasiewicz_norm(type_TRANSFER, type_DEBIT))",11,12,0.12103321033210332,0.998015,0.1426086956521739,0.10512820512820513
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), maxDest3), oldbalanceDest), lukasiewicz_norm(lukasiewicz_norm(type_DEBIT, lukasiewicz_norm(type_DEBIT, type_DEBIT)), type_TRANSFER))",15,12,0.13168086754453912,0.9981316666666666,0.16634050880626222,0.10897435897435898
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,13,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,13,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER)), type_DEBIT)",7,13,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(newbalanceDest, fuzzy_not(lukasiewicz_conorm(newbalanceOrig, oldbalanceDest)))), type_DEBIT)",10,13,0.0534244841119129,0.9875383333333333,0.029638994240764154,0.2705128205128205
